zip,lat,lon,state,policy_count,running_sum,running_percentage
43223,39.927633,-83.033424,OH,19,6143,64.16
43302,40.584028,-83.101687,OH,19,6162,64.36
44484,41.235857,-80.750201,OH,19,6181,64.55
45040,39.36006,-84.30994,OH,19,6200,64.75
45231,39.247498,-84.53483,OH,19,6219,64.95
45385,39.684731,-83.90813,OH,19,6238,65.15
43054,40.085113,-82.814347,OH,18,6256,65.34
43065,40.183405,-83.091235,OH,18,6274,65.52
43619,41.603711,-83.47049,OH,18,6292,65.71
44256,41.109975,-81.855048,OH,18,6310,65.90
44410,41.354945,-80.778301,OH,18,6328,66.09
44839,41.375658,-82.538619,OH,18,6346,66.28
45344,39.959249,-83.986855,OH,18,6364,66.46
45420,39.717059,-84.134172,OH,18,6382,66.65
45640,39.03738,-82.628954,OH,18,6400,66.84
43569,41.35002,-83.796033,OH,17,6417,67.02
44515,41.097937,-80.759813,OH,17,6434,67.20
45036,39.429284,-84.173507,OH,17,6451,67.37
45150,39.17534,-84.29438,OH,17,6468,67.55
43023,40.048971,-82.539941,OH,16,6484,67.72
43140,39.886277,-83.407733,OH,16,6500,67.89
43469,41.45144,-83.36576,OH,16,6516,68.05
44136,41.313268,-81.831656,OH,16,6532,68.22
44460,40.90089,-80.85675,OH,16,6548,68.39
44691,40.830699,-81.895377,OH,16,6564,68.55
44826,41.166039,-82.489,OH,16,6580,68.72
45005,39.55895,-84.30411,OH,16,6596,68.89
45011,39.425137,-84.472925,OH,16,6612,69.05
45230,39.071262,-84.37584,OH,16,6628,69.22
45320,39.77485,-84.674889,OH,16,6644,69.39
45324,39.82089,-84.01938,OH,16,6660,69.56
45371,39.941967,-84.16626,OH,16,6676,69.72
45879,41.121205,-84.532406,OH,16,6692,69.89
45895,40.582252,-84.152138,OH,16,6708,70.06
43031,40.16145,-82.60439,OH,15,6723,70.21
43103,39.71562,-82.95296,OH,15,6738,70.37
43138,39.52535,-82.437424,OH,15,6753,70.53
43211,40.011814,-82.970532,OH,15,6768,70.68
44089,41.380755,-82.401637,OH,15,6783,70.84
44138,41.37505,-81.90819,OH,15,6798,71.00
44240,41.132323,-81.332781,OH,15,6813,71.15
44889,41.211052,-82.417989,OH,15,6828,71.31
45380,40.25304,-84.523891,OH,15,6843,71.47
45459,39.646371,-84.171733,OH,15,6858,71.62
45830,40.97793,-84.15053,OH,15,6873,71.78
43021,40.201142,-82.874886,OH,14,6887,71.93
43125,39.84692,-82.88487,OH,14,6901,72.07
43201,39.99083,-82.999947,OH,14,6915,72.22
43221,40.023112,-83.076127,OH,14,6929,72.37
43540,41.71172,-83.90966,OH,14,6943,72.51
44126,41.442927,-81.852959,OH,14,6957,72.66
44224,41.172402,-81.450184,OH,14,6971,72.80
44312,41.01412,-81.443702,OH,14,6985,72.95
45069,39.336058,-84.40536,OH,14,6999,73.10
45177,39.444985,-83.824424,OH,14,7013,73.24
45238,39.109209,-84.610845,OH,14,7027,73.39
45431,39.764189,-84.076154,OH,14,7041,73.54
45506,39.907948,-83.836862,OH,14,7055,73.68
45872,41.204236,-83.6837,OH,14,7069,73.83
43062,40.014869,-82.624424,OH,13,7082,73.96
43105,39.84534,-82.60072,OH,13,7095,74.10
43220,40.049153,-83.074244,OH,13,7108,74.23
43437,41.255902,-83.602198,OH,13,7121,74.37
44011,41.448492,-82.019866,OH,13,7134,74.51
44039,41.377776,-82.019365,OH,13,7147,74.64
44483,41.263566,-80.816754,OH,13,7160,74.78
44646,40.814381,-81.497182,OH,13,7173,74.91
44709,40.842337,-81.386175,OH,13,7186,75.05
44822,40.587193,-82.406952,OH,13,7199,75.19
44847,41.192976,-82.696315,OH,13,7212,75.32
44904,40.682416,-82.528564,OH,13,7225,75.46
45103,39.025905,-84.157048,OH,13,7238,75.59
45822,40.556645,-84.628714,OH,13,7251,75.73
45844,40.922538,-84.295652,OH,13,7264,75.86
43351,40.828153,-83.313786,OH,12,7276,75.99
43431,41.392094,-83.317648,OH,12,7288,76.11
43607,41.647399,-83.606785,OH,12,7300,76.24
44053,41.425292,-82.218185,OH,12,7312,76.37
44070,41.417347,-81.922461,OH,12,7324,76.49
44087,41.313304,-81.440435,OH,12,7336,76.62
44134,41.380492,-81.700991,OH,12,7348,76.74
45140,39.223187,-84.245103,OH,12,7360,76.87
45212,39.16419,-84.452189,OH,12,7372,76.99
45601,39.337384,-82.991332,OH,12,7384,77.12
43215,39.966856,-83.01296,OH,11,7395,77.23
43748,39.684697,-82.302787,OH,11,7406,77.35
43920,40.677372,-80.600629,OH,11,7417,77.46
44052,41.450991,-82.166534,OH,11,7428,77.58
44060,41.679291,-81.328779,OH,11,7439,77.69
44125,41.43349,-81.632298,OH,11,7450,77.81
44140,41.490967,-81.921513,OH,11,7461,77.92
44145,41.445145,-81.921811,OH,11,7472,78.04
44446,41.186106,-80.742459,OH,11,7483,78.15
44641,40.857398,-81.246485,OH,11,7494,78.27
44708,40.825707,-81.436938,OH,11,7505,78.38
45039,39.316973,-84.243763,OH,11,7516,78.50
45236,39.210001,-84.395046,OH,11,7527,78.61
45241,39.263837,-84.409191,OH,11,7538,78.73
45440,39.675548,-84.121086,OH,11,7549,78.84
45638,38.53675,-82.68294,OH,11,7560,78.96
45769,39.07866,-82.069422,OH,11,7571,79.07
45831,41.104335,-84.236754,OH,11,7582,79.19
43064,40.057901,-83.307323,OH,10,7592,79.29
43222,39.961192,-83.035484,OH,10,7602,79.39
43462,41.283902,-83.72564,OH,10,7612,79.50
43517,41.44866,-84.74801,OH,10,7622,79.60
44116,41.469497,-81.849209,OH,10,7632,79.71
44203,41.019655,-81.621195,OH,10,7642,79.81
44425,41.15645,-80.56924,OH,10,7652,79.92
44511,41.067608,-80.698121,OH,10,7662,80.02
44705,40.830092,-81.330583,OH,10,7672,80.13
44836,41.25616,-83.05158,OH,10,7682,80.23
44903,40.80142,-82.538356,OH,10,7692,80.33
45015,39.37703,-84.567353,OH,10,7702,80.44
45042,39.543446,-84.442394,OH,10,7712,80.54
45211,39.158409,-84.602646,OH,10,7722,80.65
45243,39.18481,-84.344758,OH,10,7732,80.75
45244,39.119102,-84.350974,OH,10,7742,80.86
45701,39.339279,-82.013803,OH,10,7752,80.96
45817,40.89533,-83.88883,OH,10,7762,81.07
45873,41.117776,-84.390198,OH,10,7772,81.17
43019,40.487135,-82.512463,OH,9,7781,81.26
43205,39.957019,-82.962072,OH,9,7790,81.36
43406,41.32422,-83.43854,OH,9,7799,81.45
43501,41.66588,-84.43689,OH,9,7808,81.55
43516,41.232641,-83.949391,OH,9,7817,81.64
