zip,lat,lon,state,policy_count,running_sum,running_percentage
31632,30.942022,-83.333206,GA,10,2551,71.48
30013,33.643597,-83.968359,GA,9,2560,71.73
30038,33.667509,-84.144816,GA,9,2569,71.98
30056,33.514898,-83.70718,GA,9,2578,72.23
30213,33.591462,-84.608907,GA,9,2587,72.49
30224,33.240386,-84.273402,GA,9,2596,72.74
30305,33.834989,-84.386826,GA,9,2605,72.99
30344,33.691858,-84.448027,GA,9,2614,73.24
30345,33.845603,-84.281422,GA,9,2623,73.49
30467,32.743851,-81.628687,GA,9,2632,73.75
30504,34.273118,-83.890269,GA,9,2641,74.00
31064,33.337906,-83.698508,GA,9,2650,74.25
31419,31.997154,-81.230649,GA,9,2659,74.50
31730,31.249152,-84.242837,GA,9,2668,74.75
30033,33.816452,-84.285772,GA,8,2676,74.98
30096,33.984534,-84.152915,GA,8,2684,75.20
30134,33.759543,-84.777337,GA,8,2692,75.43
30168,33.783756,-84.595232,GA,8,2700,75.65
30187,33.72511,-84.82494,GA,8,2708,75.88
30228,33.408112,-84.273764,GA,8,2716,76.10
30306,33.787804,-84.359775,GA,8,2724,76.32
30308,33.771126,-84.378108,GA,8,2732,76.55
30311,33.724907,-84.468329,GA,8,2740,76.77
30338,33.96685,-84.324916,GA,8,2748,77.00
30533,34.541371,-84.024387,GA,8,2756,77.22
30548,34.099031,-83.71817,GA,8,2764,77.44
30641,33.778257,-83.580359,GA,8,2772,77.67
30643,34.361177,-82.941703,GA,8,2780,77.89
31061,33.072279,-83.239008,GA,8,2788,78.12
31302,32.107103,-81.291335,GA,8,2796,78.34
31307,32.17381,-81.39067,GA,8,2804,78.57
31324,31.93827,-81.30344,GA,8,2812,78.79
31410,32.017461,-80.997043,GA,8,2820,79.01
31601,30.753904,-83.332068,GA,8,2828,79.24
30060,33.938206,-84.540333,GA,7,2835,79.43
30084,33.853945,-84.215369,GA,7,2842,79.63
30153,33.993766,-85.091511,GA,7,2849,79.83
30215,33.394307,-84.473778,GA,7,2856,80.02
30324,33.820104,-84.366475,GA,7,2863,80.22
30540,34.69481,-84.48215,GA,7,2870,80.41
31217,32.811767,-83.565009,GA,7,2877,80.61
31407,32.167235,-81.199897,GA,7,2884,80.81
31705,31.546375,-84.078338,GA,7,2891,81.00
31721,31.525261,-84.301465,GA,7,2898,81.20
31901,32.472864,-84.97823,GA,7,2905,81.40
39845,31.04046,-84.87909,GA,7,2912,81.59
30030,33.772554,-84.291723,GA,6,2918,81.76
30034,33.690757,-84.251171,GA,6,2924,81.93
30055,33.491851,-83.742795,GA,6,2930,82.10
30105,34.479253,-85.149208,GA,6,2936,82.26
30106,33.836897,-84.630729,GA,6,2942,82.43
30125,33.998841,-85.239429,GA,6,2948,82.60
30238,33.494387,-84.379724,GA,6,2954,82.77
30316,33.726906,-84.358525,GA,6,2960,82.94
30327,33.863953,-84.422028,GA,6,2966,83.10
30328,33.924269,-84.378538,GA,6,2972,83.27
30441,32.926431,-82.172337,GA,6,2978,83.44
30442,32.779376,-81.973904,GA,6,2984,83.61
30529,34.217179,-83.482653,GA,6,2990,83.78
30909,33.470373,-82.082982,GA,6,2996,83.95
31092,32.115981,-83.791644,GA,6,3002,84.11
31210,32.907304,-83.735304,GA,6,3008,84.28
31220,32.859461,-83.802047,GA,6,3014,84.45
31321,32.13603,-81.62206,GA,6,3020,84.62
31408,32.108154,-81.174612,GA,6,3026,84.79
31620,31.151742,-83.407143,GA,6,3032,84.95
31803,32.254152,-84.489818,GA,6,3038,85.12
31811,32.746007,-84.934906,GA,6,3044,85.29
30017,33.890533,-83.961879,GA,5,3049,85.43
30103,34.3687,-84.93411,GA,5,3054,85.57
30145,34.233908,-84.962055,GA,5,3059,85.71
30214,33.467941,-84.480626,GA,5,3064,85.85
30236,33.518505,-84.337523,GA,5,3069,85.99
30240,33.024347,-85.073906,GA,5,3074,86.13
30248,33.372111,-84.115645,GA,5,3079,86.27
30277,33.363069,-84.659393,GA,5,3084,86.41
30307,33.762855,-84.357375,GA,5,3089,86.55
30312,33.744725,-84.375231,GA,5,3094,86.69
30315,33.697257,-84.383725,GA,5,3099,86.83
30535,34.573483,-83.575411,GA,5,3104,86.97
30536,34.680669,-84.471092,GA,5,3109,87.11
30605,33.923088,-83.364038,GA,5,3114,87.25
30625,33.525614,-83.365611,GA,5,3119,87.39
30701,34.496921,-84.887942,GA,5,3124,87.53
31002,32.56887,-82.540305,GA,5,3129,87.67
31046,33.10735,-83.80018,GA,5,3134,87.81
31088,32.580403,-83.653003,GA,5,3139,87.95
31560,31.512923,-82.010258,GA,5,3144,88.09
31626,30.79186,-83.78989,GA,5,3149,88.23
39823,31.37768,-84.93409,GA,5,3154,88.37
39842,31.760949,-84.437475,GA,5,3159,88.51
30011,34.019109,-83.826094,GA,4,3163,88.62
30021,33.810953,-84.23797,GA,4,3167,88.74
30083,33.797412,-84.197984,GA,4,3171,88.85
30088,33.771825,-84.168561,GA,4,3179,89.07
30088,33.761106,-84.176618,GA,4,3179,89.07
30273,33.577049,-84.272559,GA,4,3183,89.18
30274,33.555536,-84.397997,GA,4,3187,89.30
30303,33.752456,-84.392026,GA,4,3191,89.41
30340,33.893201,-84.253871,GA,4,3195,89.52
30446,32.580957,-81.482625,GA,4,3199,89.63
30512,34.867512,-83.967636,GA,4,3203,89.75
30517,34.10927,-83.76267,GA,4,3207,89.86
30549,34.10601,-83.589021,GA,4,3211,89.97
30628,34.03789,-83.21265,GA,4,3215,90.08
30813,33.466721,-82.213991,GA,4,3219,90.19
30815,33.32229,-82.058032,GA,4,3223,90.31
30816,33.155067,-82.134871,GA,4,3227,90.42
30828,33.406118,-82.641067,GA,4,3231,90.53
31021,32.459291,-82.938121,GA,4,3235,90.64
31033,33.056543,-83.424672,GA,4,3239,90.75
31095,32.487403,-83.669655,GA,4,3243,90.87
31313,31.844789,-81.612554,GA,4,3247,90.98
31404,32.051578,-81.049224,GA,4,3251,91.09
31405,32.065317,-81.181413,GA,4,3255,91.20
31636,30.68215,-83.17959,GA,4,3259,91.31
31712,31.849613,-83.7277,GA,4,3263,91.43
31757,30.853592,-83.888269,GA,4,3267,91.54
31815,32.069538,-84.728093,GA,4,3271,91.65
31822,32.834241,-84.904638,GA,4,3275,91.76
30035,33.732056,-84.200919,GA,3,3278,91.85
30039,33.817803,-84.022911,GA,3,3281,91.93
30058,33.735607,-84.100915,GA,3,3284,92.01
30093,33.908536,-84.177349,GA,3,3287,92.10
30141,33.87566,-84.76216,GA,3,3290,92.18
30260,33.58016,-84.326757,GA,3,3293,92.27
30286,32.884509,-84.336486,GA,3,3296,92.35
30297,33.611509,-84.374496,GA,3,3299,92.43
30310,33.718257,-84.430877,GA,3,3302,92.52
30337,33.642809,-84.461778,GA,3,3305,92.60
30341,33.888096,-84.288866,GA,3,3308,92.69
30360,33.931069,-84.277772,GA,3,3311,92.77
30415,32.352307,-81.6571,GA,3,3314,92.86
30564,34.41871,-83.90574,GA,3,3317,92.94
30683,33.930735,-83.292152,GA,3,3320,93.02
30721,34.788493,-84.91381,GA,3,3323,93.11
31005,32.54376,-83.59602,GA,3,3326,93.19
31010,31.917178,-83.785365,GA,3,3329,93.28
31068,32.327479,-84.101472,GA,3,3332,93.36
31078,32.687207,-84.010581,GA,3,3335,93.44
31079,31.948411,-83.453578,GA,3,3338,93.53
31087,33.257068,-83.08922,GA,3,3341,93.61
31204,32.852249,-83.667064,GA,3,3344,93.70
31308,32.159233,-81.502963,GA,3,3347,93.78
31318,32.149861,-81.372184,GA,3,3350,93.86
31331,31.53939,-81.52261,GA,3,3353,93.95
31406,31.975611,-81.086617,GA,3,3356,94.03
31415,32.075307,-81.128865,GA,3,3359,94.12
31537,30.855314,-82.027252,GA,3,3362,94.20
31546,31.531938,-81.804924,GA,3,3365,94.28
31605,30.945994,-83.247371,GA,3,3368,94.37
31709,32.040432,-84.215282,GA,3,3371,94.45
31719,32.090302,-84.310735,GA,3,3374,94.54
31773,30.968592,-84.02725,GA,3,3377,94.62
31794,31.463918,-83.499944,GA,3,3380,94.70
31805,32.292547,-84.736706,GA,3,3383,94.79
31816,32.91107,-84.615478,GA,3,3386,94.87
31826,32.791278,-84.733595,GA,3,3389,94.96
31833,32.907328,-85.077535,GA,3,3392,95.04
39834,30.900371,-84.428953,GA,3,3395,95.12
30002,33.77149,-84.26714,GA,2,3397,95.18
30176,33.770057,-85.261585,GA,2,3399,95.24
30178,34.129573,-84.973364,GA,2,3401,95.29
30184,34.264331,-84.753929,GA,2,3403,95.35
30205,33.303598,-84.471006,GA,2,3405,95.40
30223,33.265854,-84.289552,GA,2,3407,95.46
30257,33.11679,-84.19659,GA,2,3409,95.52
30294,33.616559,-84.293942,GA,2,3411,95.57
30326,33.849615,-84.360881,GA,2,3413,95.63
30328,33.933543,-84.395777,GA,2,3415,95.69
30331,33.724275,-84.578581,GA,2,3417,95.74
30354,33.667508,-84.389616,GA,2,3419,95.80
30363,33.791004,-84.398978,GA,2,3421,95.85
30421,32.1813,-82.10901,GA,2,3423,95.91
30425,32.654937,-82.100208,GA,2,3425,95.97
30507,34.254847,-83.774423,GA,2,3427,96.02
30528,34.610466,-83.74615,GA,2,3429,96.08
30546,34.906339,-83.72739,GA,2,3431,96.13
30563,34.51871,-83.50073,GA,2,3433,96.19
30607,33.998267,-83.439569,GA,2,3435,96.25
30629,34.105661,-83.144463,GA,2,3437,96.30
30646,34.088693,-83.30911,GA,2,3439,96.36
30660,33.78985,-82.89987,GA,2,3441,96.41
30663,33.61101,-83.602459,GA,2,3443,96.47
30728,34.697006,-85.255273,GA,2,3445,96.53
30736,34.888709,-85.118699,GA,2,3447,96.58
30821,33.484966,-82.718794,GA,2,3449,96.64
30824,33.494908,-82.513847,GA,2,3451,96.69
31030,32.560698,-83.854528,GA,2,3453,96.75
31031,32.881267,-83.302945,GA,2,3455,96.81
31047,32.49598,-83.60768,GA,2,3457,96.86
31052,32.783332,-83.823023,GA,2,3459,96.92
31096,32.635692,-82.657495,GA,2,3461,96.97
31316,31.780996,-81.773916,GA,2,3463,97.03
31625,31.00825,-83.51294,GA,2,3465,97.09
31629,30.761316,-83.708223,GA,2,3467,97.14
31707,31.586919,-84.206431,GA,2,3469,97.20
31768,31.183438,-83.789698,GA,2,3471,97.25
31778,30.95991,-83.73795,GA,2,3473,97.31
31779,31.12768,-84.15185,GA,2,3475,97.37
31823,32.822628,-84.820364,GA,2,3477,97.42
39828,30.878687,-84.204841,GA,2,3479,97.48
30024,34.042607,-84.087266,GA,1,3480,97.51
30032,33.728243,-84.303794,GA,1,3481,97.53
30034,33.694153,-84.259821,GA,1,3482,97.56
30081,33.858836,-84.71062,GA,1,3483,97.59
30082,33.844213,-84.51706,GA,1,3484,97.62
30104,34.053167,-85.079865,GA,1,3485,97.65
30114,34.189036,-84.547135,GA,1,3486,97.67
30147,34.152211,-85.220364,GA,1,3487,97.70
30171,34.337901,-84.737644,GA,1,3488,97.73
30179,33.73746,-85.026107,GA,1,3489,97.76
30183,34.338605,-84.577601,GA,1,3490,97.79
30206,33.104729,-84.456917,GA,1,3491,97.81
30234,33.322351,-84.028744,GA,1,3492,97.84
30241,33.024935,-84.957664,GA,1,3493,97.87
30268,33.559191,-84.710082,GA,1,3494,97.90
30274,33.560614,-84.40523,GA,1,3495,97.93
30292,33.117012,-84.399149,GA,1,3496,97.95
30296,33.558361,-84.434776,GA,1,3497,97.98
30309,33.815094,-84.391172,GA,1,3498,98.01
30313,33.760505,-84.399626,GA,1,3499,98.04
30314,33.757806,-84.433649,GA,1,3500,98.07
30317,33.747999,-84.315586,GA,1,3501,98.09
30327,33.841714,-84.425336,GA,1,3502,98.12
30332,33.778271,-84.404537,GA,1,3503,98.15
30410,32.17966,-82.516557,GA,1,3504,98.18
30413,32.88914,-82.466644,GA,1,3505,98.21
30420,32.28046,-82.13873,GA,1,3506,98.23
30445,32.163981,-82.588479,GA,1,3507,98.26
30456,32.97516,-81.75761,GA,1,3508,98.29
30464,32.43723,-82.22496,GA,1,3509,98.32
30501,34.334398,-83.837912,GA,1,3510,98.35
30513,34.831246,-84.331339,GA,1,3511,98.37
30521,34.363122,-83.254745,GA,1,3512,98.40
30523,34.655918,-83.508274,GA,1,3513,98.43
30527,34.47788,-83.77351,GA,1,3514,98.46
30530,34.168274,-83.402226,GA,1,3515,98.49
30553,34.408031,-83.144241,GA,1,3516,98.51
30557,34.48705,-83.18488,GA,1,3517,98.54
30619,33.888662,-83.222254,GA,1,3518,98.57
30627,34.04317,-83.03376,GA,1,3519,98.60
30630,33.907589,-83.164573,GA,1,3520,98.63
30634,34.185291,-82.943399,GA,1,3521,98.66
30656,33.838638,-83.710359,GA,1,3522,98.68
30734,34.535071,-84.724186,GA,1,3523,98.71
30741,34.98313,-85.28607,GA,1,3524,98.74
30808,33.404395,-82.401622,GA,1,3525,98.77
30823,33.181447,-82.438568,GA,1,3526,98.80
30830,33.080724,-81.986767,GA,1,3527,98.82
30906,33.358865,-82.009938,GA,1,3528,98.85
31029,33.025944,-83.915021,GA,1,3529,98.88
31072,31.948637,-83.539522,GA,1,3530,98.91
31085,33.435022,-83.626885,GA,1,3531,98.94
31206,32.800857,-83.693698,GA,1,3532,98.96
31211,32.866987,-83.607363,GA,1,3533,98.99
31301,31.779116,-81.60385,GA,1,3534,99.02
31320,31.778847,-81.420626,GA,1,3535,99.05
31401,32.074679,-81.088261,GA,1,3536,99.08
31411,31.942645,-81.045795,GA,1,3537,99.10
31513,31.756861,-82.350837,GA,1,3538,99.13
31516,31.326324,-82.271206,GA,1,3539,99.16
31520,31.180919,-81.493973,GA,1,3540,99.19
31533,31.509338,-82.857131,GA,1,3541,99.22
31553,31.158299,-81.954478,GA,1,3542,99.24
31558,30.73051,-81.54649,GA,1,3543,99.27
31603,30.827965,-83.252192,GA,1,3544,99.30
31637,31.271045,-83.468529,GA,1,3545,99.33
31639,31.199826,-83.218233,GA,1,3546,99.36
31649,30.955111,-83.013828,GA,1,3547,99.38
31701,31.560674,-84.176751,GA,1,3548,99.41
31714,31.723074,-83.644063,GA,1,3549,99.44
31720,30.89019,-83.74072,GA,1,3550,99.47
31735,31.968395,-83.978975,GA,1,3551,99.50
31750,31.748753,-83.235412,GA,1,3552,99.52
31771,31.246179,-83.654904,GA,1,3553,99.55
31775,31.34102,-83.5935,GA,1,3554,99.58
31788,31.111441,-83.676797,GA,1,3555,99.61
31790,31.652867,-83.578336,GA,1,3556,99.64
31791,31.603336,-83.850054,GA,1,3557,99.66
31801,32.53264,-84.66104,GA,1,3558,99.69
31806,32.209028,-84.277064,GA,1,3559,99.72
31807,32.631243,-84.789524,GA,1,3560,99.75
31812,32.60347,-84.45936,GA,1,3561,99.78
31825,32.074331,-84.718627,GA,1,3562,99.80
31827,32.673738,-84.537989,GA,1,3563,99.83
31829,32.564771,-84.733865,GA,1,3564,99.86
39815,30.74908,-84.4838,GA,1,3565,99.89
39837,31.17129,-84.73325,GA,1,3566,99.92
39840,31.77127,-84.78937,GA,1,3567,99.94
39866,31.53767,-84.59936,GA,1,3568,99.97
39885,31.717425,-84.351063,GA,1,3569,100.00
